Estacao;Latitude;Longitude;;;;;
2041046;-20,93;-41,87;;;;;
2041141;-20,86;-41,74;;;;;
2042027;-20,97;-42,05;;;;;
2141001;-21,48;-41,1;;;;;
2141002;-21,75;-41,3;;;;;
2141003;-21,49;-41,61;;;;;
2141004;-21,21;-41,89;;;;;
2141005;-21,65;-41,75;;;;;
2141006;-21,64;-41,86;;;;;
2141007;-21,63;-41,99;;;;;
2141099;-21,77;-41,94;;;;;
2141100;-21,73;-41,99;;;;;
2142014;-21,87;-42,64;;;;;
2142022;-21,95;-42,36;;;;;
2142058;-21,54;-42,18;;;;;
2142067;-21,54;-42,18;;;;;
2142158;-21,67;-42,08;;;;;
2142161;-21,62;-42,1;;;;;
2241001;-22,04;-41,06;;;;;
2241002;-22,11;-41,47;;;;;
2241003;-22,09;-41,74;;;;;
2241004;-22,26;-41,98;;;;;
2242001;-22,04;-42,04;;;;;
2242002;-22,19;-42,16;;;;;
2242003;-22,4;-42,34;;;;;
2242004;-22,36;-42,38;;;;;
2242005;-22,39;-42,49;;;;;
2242006;-22,47;-42,08;;;;;
2242007;-22,47;-42,31;;;;;
2242008;-22,55;-42,55;;;;;
2242009;-22,35;-42,62;;;;;
2242010;-22,91;-42,73;;;;;
2242011;-22,69;-42,95;;;;;
2242012;-22,5;-42,91;;;;;
2242013;-22,44;-42,76;;;;;
2242014;-22,56;-42,69;;;;;
2242016;-22,44;-42,62;;;;;
2242017;-22,07;-42,16;;;;;
2242018;-22,24;-42,29;;;;;
2242019;-22,3;-42,4;;;;;
2242020;-22,28;-42,5;;;;;
2242021;-22,16;-42,42;;;;;
2242022;-22,29;-42,66;;;;;
2242024;-22,38;-42,55;;;;;
2242025;-22,34;-42,56;;;;;
2242026;-22,27;-42,79;;;;;
2242027;-22,2;-42,9;;;;;
2242028;-22,04;-42,99;;;;;
2242029;-22,05;-42,68;;;;;
2242033;-22,21;-42,36;;;;;
2242122;-22,28;-42,29;;;;;
2242123;-22,28;-42,93;;;;;
2242437;-22,02;-42,13;;;;;
2243002;-22,45;-43,8;;;;;
2243003;-22,15;-43,29;;;;;
2243004;-22,29;-43,93;;;;;
2243005;-22,22;-43,7;;;;;
2243006;-22,16;-43,75;;;;;
2243007;-22,21;-43,62;;;;;
2243008;-22,09;-43,56;;;;;
2243010;-22,49;-43,15;;;;;
2243011;-22,44;-43,17;;;;;
2243012;-22,33;-43,14;;;;;
2243013;-22,24;-43,1;;;;;
2243014;-22,3;-43,18;;;;;
2243015;-22,14;-43,15;;;;;
2243016;-22,19;-43,01;;;;;
2243159;-22,5;-43,93;;;;;
2243250;-22,9;-43,87;;;;;
2243268;-22,3;-43,22;;;;;
2243285;-22,46;-43,09;;;;;
2243286;-22,41;-43,13;;;;;
2243287;-22,51;-43,21;;;;;
2243288;-22,52;-43,17;;;;;
2243289;-22,49;-43,18;;;;;
2243290;-22,45;-43,11;;;;;
2243291;-22,47;-43,1;;;;;
2243301;-22,46;-43,31;;;;;
2243302;-22,48;-43,26;;;;;
2244030;-22,5;-44,62;;;;;
2244033;-22,23;-44,06;;;;;
2244034;-22,3;-44,19;;;;;
2244037;-22,3;-44,31;;;;;
2244038;-22,27;-44,39;;;;;
2244039;-22,34;-44,59;;;;;
2244041;-22,5;-44,09;;;;;
2244043;-22,58;-44,27;;;;;
2244044;-22,47;-44,23;;;;;
2244045;-22,39;-44,11;;;;;
2244047;-22,33;-44,54;;;;;
2244049;-22,39;-44,17;;;;;
2244148;-22,96;-44,03;;;;;
2244149;-22,94;-44,39;;;;;
2344006;-23,32;-44,72;;;;;
2344007;-23,22;-44,76;;;;;
2344008;-23,44;-44,7;;;;;
2344016;-23,03;-44,52;;;;;
2344019;-23;-44,54;;;;;
